ID,TEA Random
0,Order Season Ticket
1,First team squad
2,Reserve squad
3,Youth squad
4,Talk To Player
5,Reasure Player
6,Free Transfer
7,Fine Player
8,Evaluate
9,Recall
10,Return
11,Resign from Nat Job
12,Specific Player Search
13,Send by email
14,Send by post + email
15,Remove player from List
16,Cancel Bid for Player
17,Request extra funds
18,PPA (Player)
19,PPAP (Player)
20,PPCP (Player)
21,PPCPP (Player)
22,PPLP (Player)
23,PPLPP (Player)
24,CPA (Player)
25,CPAP (Player)
26,CPCP (Player)
27,CPCPP (Player)
28,CPLP (Player)
29,CPLPP (Player)
30,PTCP (Team)
31,PTCPP (Team)
32,PTLP (Team)
33,PTLPP (Team)
34,CTCP (Team)
35,CTCPP (Team)
36,CTLP (Team)
37,CTLPP (Team)
38,Con Training
39,Cro Training
40,Dis Training
41,Han Training
42,Hea Training
43,Mov Training
44,Pas Training
45,Ref Training
46,Sho Training
47,Sta Training
48,Str Training
49,Tac Training
50,PS AM
51,PS CB
52,PS CF
53,PS CM
54,PS FR
55,PS GK
56,PS IF
57,PS LB
58,PS LF
59,PS LM
60,PS LWB
61,PS PL
62,PS RB
63,PS RF
64,PS RM
65,PS RWB
66,PS SW
67,PS TM
68,Mentor
69,Mentor End
70,Mentor Summary
71,Loan Extend
72,Loan 1
73,Loan 2
74,Loan 3
75,Loan 4
76,Loan 5
77,Loan 6
78,Loan 7
79,Loan 8
80,Loan 9
81,Loan 10
82,Loan 11
83,Loan 12
84,Loan 13
85,Loan 14
86,Loan 15
87,Loan 16
88,Loan 17
89,Loan 18
90,Loan 19
91,Loan 20
92,Loan 21
93,Loan 22
94,Loan 23
95,Loan 24
96,Loan 25
97,Loan 26
98,Pools 1
99,Pools 2
100,Pools 3
101,Pools 4
102,Pools 5
103,Pools 6
104,Pools 7
105,Pools 8
106,Pools 9
107,Pools 10
108,Pools 11
109,Pools 12
110,Pools 13
111,Pools 14
112,Pools 15
113,Pools 16
114,Pools 17
115,Pools 18
116,Pools 19
117,Pools 20
118,Pools 21
119,Pools 22
120,Pools 23
121,Pools 24
122,Pools 25
123,Pools 26
124,Pools 27
125,Pools 28
126,Pools 29
127,Pools 30
128,Pools 31
129,Pools 32
130,Pools 33
131,Pools 34
132,Pools 35
133,Pools 36
134,Pools 37
135,Pools 38
136,Pools 39
137,Pools 40
138,Pools 41
139,Pools 42
140,Pools 43
141,Pools 44
142,Pools 45
143,Pools 46
144,Pools 47
145,Pools 48
146,Pools 49
147,Pools 50
148,Pools 51
149,Pools 52
150,Pools 53
151,Pools 54
152,Pools 55
153,Pools 56
154,Pools 57
155,Pools 58
156,Pools 59
157,Pools 60
158,Apply Albania
159,Apply Algeria
160,Apply America
161,Apply Angola
162,Apply Argentina
163,Apply Australia
164,Apply Austria
165,Apply Belarus
166,Apply Belgium
167,Apply Bolivia
168,Apply Bosnia
169,Apply Brazil
170,Apply Bulgaria
171,Apply Cameroon
172,Apply Cape Verde
173,Apply Chile
174,Apply China
175,Apply Columbia
176,Apply Costa Rica
177,Apply Croatia
178,Apply Czech Republic
179,Apply Denmark
180,Apply Egypt
181,Apply England
182,Apply Estonia
183,Apply Finland
184,Apply France
185,Apply Georgia
186,Apply Germany
187,Apply Ghana
188,Apply Greece
189,Apply Guinea
190,Apply Holland
191,Apply Hungary
192,Apply Iceland
193,Apply Iran
194,Apply Irish Republic
195,Apply Israel
196,Apply Italy
197,Apply Ivory Coast
198,Apply Jamaica
199,Apply Japan
200,Apply Latvia
201,Apply Liberia
202,Apply Macedonia
203,Apply Mexico
204,Apply Moldova
205,Apply Morocco
206,Apply Nigeria
207,Apply N Ireland
208,Apply Norway
209,Apply Paraguay
210,Apply Peru
211,Apply Poland
212,Apply Portugal
213,Apply Romania
214,Apply Russia
215,Apply Saudi Arabia
216,Apply Scotland
217,Apply Senegal
218,Apply Slovakia
219,Apply Slovenia
220,Apply South Africa
221,Apply South Korea
222,Apply Spain
223,Apply Sweden
224,Apply Switzerland
225,Apply Trinidad
226,Apply Tunisia
227,Apply Turkey
228,Apply Ukraine
