ID,TEA Random
0,TEA 12 de Oct - Paraguay
1,TEA 12 de Octubre - Paraguay
2,TEA 1899 Hoffenheim - Germany
3,TEA 1899 Hoffenheim reserves
4,TEA 1899 Hoffenheim youth team
5,TEA 2 de Mayo - Paraguay
6,TEA 3 de Febrero - Paraguay
7,TEA A Bilbao - Spain
8,TEA A Bilbao reserves
9,TEA A Bilbao youth team
10,TEA A Cheetahs - South Korea
11,TEA A Chisinau - Moldova
12,TEA A De Natal - Brazil
13,TEA A Kotoko - Ghana
14,TEA A Minero - Peru
15,TEA A Niigata - Japan
16,TEA A Praia - Cape Verde
17,TEA A Tblisi - Georgia
18,TEA A Vienna - Austria
19,TEA A Vienna reserves
20,TEA A Vienna youth team
21,TEA A Wanderers - South Africa
22,TEA Aalborg - Denmark
23,TEA Aalborg Boldspilklub - Denmark
24,TEA Aalborg Boldspilklub reserves
25,TEA Aalborg Boldspilklub youth team
26,TEA Aalborg reserves
27,TEA Aalborg youth team
28,TEA Aalesund - Norway
29,TEA Aarau - Switzerland
30,TEA Aarhus - Denmark
31,TEA Aberdeen - Scotland
32,TEA Aberdeen reserves
33,TEA Aberdeen youth team
34,TEA Aberystwyth - Wales
35,TEA Aberystwyth Town - Wales
36,TEA Abidjan - Ivory Coast
37,TEA Abomoslem - Iran
38,TEA AC Allianssi - Finland
39,TEA AC Horsens - Denmark
40,TEA AC Milan - Italy
41,TEA AC Milan reserves
42,TEA AC Milan youth team
43,TEA AC Oulu - Finland
44,TEA Academica - Portugal
45,TEA Academica Calheta - Cape Verde
46,TEA Academica Coimbra - Portugal
47,TEA Academica Mindelo - Cape Verde
48,TEA Academica Praia - Cape Verde
49,TEA Academico Sal - Cape Verde
50,TEA Academico Viseu - Portugal
51,TEA Accrington - England
52,TEA Accrington Stanley - England
53,TEA Adelaide United - Australia
54,TEA Adelaide Utd - Australia
55,TEA Admira - Austria
56,TEA Admira reserves
57,TEA Admira Wacker Modling - Austria
58,TEA Admira Wacker Modling reserves
59,TEA Admira Wacker Modling youth team
60,TEA Admira youth team
61,TEA Ado Den Haag - Holland
62,TEA Adzope - Ivory Coast
63,TEA AE Larissa - Greece
64,TEA AEK - Greece
65,TEA AEK Athens - Greece
66,TEA AEK Athens reserves
67,TEA AEK Athens youth team
68,TEA AEK reserves
69,TEA AEK youth team
70,TEA AFC Ajax - Holland
71,TEA AFC Ajax reserves
72,TEA AFC Ajax youth team
73,TEA AFC Bournemouth - England
74,TEA AFC Bournemouth reserves
75,TEA AFC Bournemouth youth team
76,TEA AFC Wimbledon - England
77,TEA Afienga - Ghana
78,TEA Africa Sports - Ivory Coast
79,TEA Africa Spts - Ivory Coast
80,TEA Africain - Tunisia
81,TEA African Wanderers - South Africa
82,TEA Agro Chisinau - Moldova
83,TEA Aigaleo - Greece
84,TEA Aigle Royal - Cameroon
85,TEA Aigle Royal de la Menoua - Cameroon
86,TEA AIK - Sweden
87,TEA AIK reserves
88,TEA AIK Stockholm - Sweden
89,TEA AIK Stockholm reserves
90,TEA AIK Stockholm youth team
91,TEA AIK youth team
92,TEA Airbus UK - Wales
93,TEA Airdrie - Scotland
94,TEA Airdrie reserves
