ID,TEA Random
432,TEA Belenenses - Portugal
1270,TEA FC Porto - Portugal
2226,TEA Maritimo - Portugal
1171,TEA Estoril Praia - Portugal
50,TEA Academico Viseu - Portugal
2227,TEA Maritimo Funchal - Portugal
2648,TEA Pacos Ferreira - Portugal
3814,TEA Vasco De Gama - Portugal
162,TEA Alverca - Portugal
1259,TEA FC Maia - Portugal
2435,TEA Naval - Portugal
1205,TEA Farense - Portugal
216,TEA Arouca - Portugal
44,TEA Academica - Portugal
3628,TEA Tondela - Portugal
2404,TEA Nacional - Portugal
3079,TEA S Braga - Portugal
3720,TEA Uniao Madeira - Portugal
2802,TEA Praia - Portugal
3416,TEA Sporting Espinho - Portugal
1322,TEA Feirense - Portugal
3681,TEA Trofense - Portugal
391,TEA Barreirense - Portugal
1172,TEA Estrela Amadora - Portugal
1993,TEA Leca - Portugal
3718,TEA Uniao Lamas - Portugal
3423,TEA Sporting Lisbon - Portugal
2177,TEA Madeira - Portugal
177,TEA Anadia - Portugal
3094,TEA S Lisbon - Portugal
2850,TEA Quindio - Columbia
969,TEA Deportes Pereira - Columbia
904,TEA Cucuta Deportivo - Columbia
449,TEA Beracruz - Columbia
2599,TEA Once Caldas - Columbia
271,TEA Atl Huila - Columbia
2294,TEA Millonarios - Columbia
3178,TEA Sante Fe - Columbia
170,TEA America de Cali - Columbia
276,TEA Atl Nacional - Columbia
